Shanika Bashline,2147483647,78
Jarrett Argento,2147483647,16
Scarlett Bartunek,2147483647,9
Jonathan Aroca,2147483647,51
Aundrea Aderman,2147483647,19
Dana Allenbach,2147483647,95
Kendrick Ashraf,2147483647,90
Kenneth Ashworth,2147483647,32
Felice Andres,2147483647,18
Merideth Balash,2147483647,11
Gaye Angrisano,2147483647,5
Genoveva Ankeny,2147483647,91
Crista Alirez,2147483647,6
Lesley Auyong,2147483647,58
Leigh Aurora,2147483647,6
Karissa Artz,2147483647,39
Shawnda Basta,2147483647,90
Leo Austine,2147483647,68
Adrianne Abasta,2147483647,2
Courtney Alimento,1632230963,7
Dawn Allums,1720063787,39
Andera Abston,1261419980,72
Erick Amy,2147483647,54
Anh Aceuedo,2147483647,61
Odell Bankos,2147483647,71
Ola Banner,2147483647,7
Randa Barg,2147483647,7
Winfred Beirise,2147483647,96
Cecilia Alamillo,1705111100,54
Lavinia Aukamp,2147483647,70
Mai Bachmeyer,2147483647,3
Bobbie Agramonte,2147483647,46
Tyesha Beckton,2147483647,66
Chanell Albach,1819053749,95
Mika Baldinger,2147483647,34
Alta Aboudi,2147483647,89
Omega Banther,2147483647,6
Makeda Bachtold,2147483647,3
Mable Babst,2147483647,66
Marleen Bagron,2147483647,34
Hilario Appelbaum,2147483647,37
Jacquie Arcuo,2147483647,14
Joelle Arner,2147483647,39
Brittany Ahlbrecht,2147483647,59
Twanda Beckor,2147483647,66
Erlene Anable,2147483647,55
Mohammed Ballagh,2147483647,39
Allene Able,1423121841,63
Ardath Acquilla,2147483647,17
Loree Ayarza,2147483647,73
Kip Assael,2147483647,61
Marianna Baese,2147483647,25
Miki Baldo,2147483647,25
Elly Amison,2147483647,29
Thomas Bearman,2147483647,92
Marhta Baek,2147483647,29
Ettie Anctil,1612078140,4
Jimmie Armlin,2147483647,75
Jerald Arkontaky,1511365407,55
Gisele Ansloan,2147483647,38
Deanna Almaras,2147483647,65
Trista Beckford,1159315885,91
Annalisa Achor,2147483647,96
Lavona Aukerman,1905930537,10
Catheryn Aksoy,2147483647,13
Shantay Basinger,2147483647,65
Perla Barbieri,2147483647,47
Ted Bazzell,2147483647,43
Olga Bannon,2147483647,18
Octavia Bankert,2147483647,65
Buffy Ahnell,2147483647,36
Vanda Bednarek,2147483647,41
Jacquelyn Arcino,2147483647,39
Clemmie Alessandro,2147483647,84
Verla Beeck,2147483647,53
Delphia Alpha,2147483647,17
Collene Alfaro,2147483647,16
Bernie Africa,2147483647,23
Caroyln Akemon,2147483647,63
Gabriela Angiolelli,2147483647,27
Rebekah Bario,2147483647,17
Toney Beaven,2147483647,52
Maryln Bailon,2147483647,83
Virgil Beezley,2147483647,38
Alise Abete,2147483647,69
Andrew Abundis,2147483647,13
Arla Adamczyk,2147483647,98
Leilani Ausby,2147483647,46
Hue Apsey,2147483647,73
Felisa Andrian,2147483647,34
Edna Ambert,2147483647,54
Kraig Astley,2147483647,44
Nevada Bambach,2109214936,60
Mickey Balder,2147483647,84
Domenic Altop,2147483647,1
Carey Ailstock,2147483647,1
Cory Aliment,2128921490,5
Laverna Augustus,2027416601,84
Susanne Bautch,2147483647,51
Deshawn Alstad,2147483647,91
Dara Allie,1567141169,27
Annita Ackerman,2147483647,26
Eddie Amat,2147483647,60
Orville Baptist,2147483647,65
Georgann Ankersen,2147483647,5
Zandra Belgrave,2147483647,61
Luke Babbit,2147483647,51
Arlena Adames,2147483647,31
Candi Aikens,2147483647,74
Christy Alderete,2147483647,36
Philomena Barbur,1008806228,29
Hortencia Appling,2147483647,94
Genna Anis,2147483647,93
Rodrick Barranger,2147483647,23
Jin Armon,2147483647,3
Cecil Alameida,2147483647,65
Eugena Anda,2147483647,19
Tod Beaufort,2147483647,56
Rosaline Barrientez,1484171500,66
Debrah Almenar,2147483647,14
Nikia Bancourt,1318734038,21
Phylis Barcellos,2147483647,32
Odessa Bankowski,2147483647,81
Maritza Baglione,2147483647,85
Leilani Ausby,2147483647,81
Deane Almand,2147483647,31
Boris Agrios,2147483647,60
Earnest Amara,2147483647,44
Lashawn Aubrey,1257509064,5
Merrill Balbuena,2147483647,98
Bernice Afoa,2147483647,81
Marla Bagoyo,2147483647,39
Akilah Abbott,2147483647,57
Victor Beer,2147483647,81
Desire Alstott,2147483647,18
Veta Beeler,1796266347,95
Irma Arb,2147483647,71
Elli Amiot,2147483647,13
Lanita Attinger,2147483647,92
Winona Beiser,2147483647,9
